,MD,mf1,mf2,mH,mA,mE1,mE2,mu->e gamma,alfa,delta,y1,rho1,eta2,eta3,f2,f3,f1,rho2,rho3,k,I1,I2,mu,Rmuv
1858,852.555423785,833.989278739,1820.28806962,573.445476203,577.499022636,577.836684381,833.484656723,1.72421675648e-13,-0.137634925799,0.00244627987615,0.000141452994122,0.140569791178,-0.000701834908557,-0.000862689459734,0.000544991004318,0.000233587378632,0.0001510657527,0.0253644395122,0.000502957147114,-3.75765320205e-05,0.321842838885,0.157261914268,5.07402452456,0.0206261159535
1944,1355.61232424,1352.25669461,1606.68291948,702.608550451,705.391860899,708.390039544,1351.50049884,3.06771197301e-19,0.115097363631,-0.000267059339667,0.00073707246465,0.000189543346761,-0.00365706777038,-0.0044952363876,0.00103753604045,0.000444696007832,0.000287594036712,0.0225198209186,0.00642672383222,-3.78795486601e-06,0.510374569595,0.441774004288,-2.03384267905,-0.00826765316688
1994,1429.4076511,1427.76976022,2391.92964046,988.01872312,991.806151553,992.344989416,1426.88537336,9.68963061626e-21,0.0412278789216,0.00457646018034,0.000126362451158,0.014456751677,-0.000626961485713,-0.000770655689521,-0.000561201408451,-0.000240535283787,-0.000155559105586,0.000167148009563,0.000227932418245,4.08489954091e-05,0.319446657464,0.204991003492,27.6573702085,0.112428334181
2009,780.275339483,765.829341283,1573.19528786,639.443833856,641.813009094,640.513071559,765.13081135,5.1923647019e-17,0.134165936549,0.00184367159037,0.000101787767835,0.399592779424,-0.000505031435877,-0.000620780316358,-0.00142858764446,-0.000612303763496,-0.000395989412849,0.000193950782358,0.000101414987455,1.99212091105e-05,0.167156799033,0.0895535666223,1.85659701241,0.00754714232687
2077,899.426010016,894.477474845,1185.70318404,795.462677244,802.854828737,804.553127328,894.169407213,5.7184255997e-20,-0.130725749171,-0.00597968677871,0.000148249835786,0.000246912059961,-0.000735558201425,-0.000904141842552,-0.000608995245309,-0.000261020093587,-0.000168807052583,0.0411864175541,0.132776227465,3.2085591621e-05,0.101869092986,0.0823780554404,-5.23307951317,-0.0212726809479
2131,1541.95339395,1530.22009439,2125.56255322,939.956011607,943.128349393,942.610388931,1529.23985499,3.10511115223e-21,-0.140852195555,-0.0010108353954,0.000147783314994,0.003597724661,-0.000733243506146,-0.000901296638936,-0.000663495792887,-0.000284379451709,-0.000183914028987,0.000229364978598,0.000858968232177,2.95430001633e-05,0.406819849144,0.308496152681,-8.42647748777,-0.0342539735275
2134,1368.90217128,1368.29072437,2051.75772587,917.434049756,918.905216248,918.25974528,1367.57664795,5.45986521508e-17,-0.0299147499389,0.00160931579407,0.000287894550542,0.00568875310178,-0.00142842112892,-0.00175580302,0.00105713381533,0.000453095766406,0.000293026333007,0.0267309899358,0.00139742364215,-9.51819866027e-06,0.345845564039,0.245865792689,9.50207193216,0.0386263086673
2155,1378.29315229,1377.73181914,2324.05307887,811.418943506,821.31295855,813.108485912,1377.23015678,2.22915417057e-15,-0.0243575716479,-0.00471833150429,0.000291447659634,0.0670036204898,-0.00144605027852,-0.00177747261972,-0.000391982641689,-0.000168006805646,-0.000108653449952,0.00963844482409,0.201915923177,2.5356585236e-05,0.435947163652,0.273433245209,-33.5155186468,-0.136241945719
2180,1020.69250719,1020.67873359,1909.00601974,912.55739761,913.796063574,918.53980867,1019.93482931,3.14030193385e-13,0.00393766222848,-0.014775923762,0.000954819517189,0.00128287124057,-0.00473744421384,-0.00582322586057,0.000714059998435,0.000306051663053,0.000197929892937,0.00390709745261,0.000138318106117,-4.24875982766e-06,0.101005973,0.0600459218336,-16.6935256737,-0.0678598604624
2209,815.002859175,814.979342789,825.911340355,563.325371356,569.927097261,564.317237728,814.545725689,6.30272035534e-15,0.0463971558997,0.00267607536535,0.000580859327501,0.00316723870456,-0.00288199875535,-0.00354252819131,-0.0072023706963,-0.00308699203759,-0.00199642111859,0.00308703219546,0.363803186567,6.92423400755e-07,0.322384413719,0.319185051554,5.30803790575,0.0215773898608
2217,725.317980128,725.08474059,896.301074435,536.290863337,539.857586751,536.374951275,724.905321014,6.22687671008e-18,-0.0369170628667,-0.0138998665706,0.000215481175894,0.000987227356249,-0.00106913404214,-0.00131417040953,-0.000440124553049,-0.000188640802883,-0.000121997879527,0.0207958433656,0.337040307571,3.05445154916e-05,0.271097844666,0.229809379974,-18.9988583114,-0.0772311313471
2232,1098.51360722,1098.3306086,1122.63303329,646.405289209,651.376627499,653.475308952,1097.355327,4.81173362409e-17,0.0868851692519,-0.0014415310857,0.000887902648949,0.000193690098479,-0.00440542866059,-0.00541511518559,0.00181798929896,0.000779204337983,0.000503927440402,0.290279596703,0.0679233826689,-1.79457453274e-06,0.430058062939,0.422773934211,-6.44040284949,-0.0261804993882
2306,912.076674363,911.197068908,1790.81264478,523.820420007,528.314409924,531.27834499,910.222777238,1.22845066073e-14,-0.0316278674061,0.00071480735098,0.000245495762468,0.0151146667645,-0.00121805478259,-0.00149722250847,0.00404067856438,0.00173186622581,0.00112003343892,0.0417155407304,0.482371411588,-2.92024891093e-06,0.443224780476,0.236918369849,2.24470497008,0.00912481695155
2426,1169.58797726,1169.56997933,1811.07963405,910.316954836,919.81749998,915.480532967,1169.12232308,2.33470689546e-13,-0.00529677648098,-0.00361164163243,0.00289881477463,0.0287577374914,-0.0143827948988,-0.0176792083287,-0.000379403513396,-0.000162615293529,-0.000105166648392,0.000254459093614,0.0273103704361,2.63388227731e-06,0.224640167265,0.157074819446,-10.9780423742,-0.0446261885131
2435,1020.88280057,1011.87129411,1470.91459746,813.971396131,820.984558756,818.707687019,1011.26248677,3.12602826788e-18,-0.140573401852,0.00268308112775,0.000196524499261,0.0048943986269,-0.000975078363128,-0.00119855797429,0.000399284658428,0.000171136506752,0.000110677491902,0.0096438280889,0.000340629320408,-3.69163582874e-05,0.196315131127,0.14569669349,5.43513043419,0.0220940261552
2551,934.06149903,933.842538316,1531.77908148,546.697371027,549.166950457,554.089781178,933.405100733,4.2898565491e-20,-0.0191373615552,0.00810587619468,0.000273230021752,0.00151219583925,-0.00135566142322,-0.0016663674128,0.000457165885092,0.000195944850195,0.000126721556857,0.000851776407223,0.114712379438,-2.31908113488e-05,0.432299247382,0.278965765475,26.2915806321,0.106876344033
